"Marca temporal","Indique la Comunidad Autónoma en la que reside","Marque la opción que mejor describa su situación","Escriba su Código Postal","Indique su distrito","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su nivel máximo de estudios","En una escala del 1 al 5 valore la rapidez con la que el gobierno central está tomando medidas contra la pandemia","¿Cuál es la información respecto a la crisis del COVID-19 que más le importa conocer?","¿Qué medios utiliza para informarse sobre el COVID-19?","¿Cree que algún grupo de edad está menos informado respecto al COVID-19?","Según este gráfico:","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Central]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Autonómico]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Local]","Indique los métodos de propagación del COVID-19 según las fuentes oficiales","Indique su año de nacimiento (4 cifras)","Indique su sexo"
"2020/04/29 7:41:56 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46019","Rascanya","","","","","","","","","","","","","","","Orriols","","","","","Universitario","3","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","4","4","4","Propagación por gotas al toser y estornudar","1967","Masculino"
"2020/04/29 8:03:33 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Ingresados en la UCI","TV;Radio;Twitter","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","2","4","No lo sé","Propagación por gotas al toser y estornudar","1967","Femenino"
"2020/04/29 8:17:43 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Cuando nos van a facilitar test ","No quiero mirar información","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar;Objetos","1969","Femenino"
"2020/04/29 8:55:27 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Radio;Fuentes oficiales del Gobierno","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","4","4","2","Propagación por gotas al toser y estornudar","1983","Masculino"
"2020/04/29 9:41:43 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Recuperados","TV;Fuentes oficiales del Gobierno;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1972","Femenino"
"2020/04/29 9:43:19 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46026","Quatre Carreres","","","","","","","","","","Malilla","","","","","","","","","","Educación Primaria","1","Fallecidos","TV;Periódicos digitales;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1981","Femenino"
"2020/04/29 9:48:45 p. m. EET","Madrid","","","","","","","","","","","","","","","","","","","","","","","Universitario","4","Infectados","TV;Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","1","3","Propagación a través del aire;Propagación por gotas al toser y estornudar","1970","Femenino"
"2020/04/29 9:53:27 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Fallecidos","Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","3","5","Propagación a través del aire;Propagación por gotas al toser y estornudar","1991","Masculino"
"2020/04/29 10:14:33 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Fallecidos","TV;Fuentes oficiales del Gobierno;Instagram;Facebook;Linkedin","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","2","3","Propagación por gotas al toser y estornudar","1985","Femenino"
"2020/04/29 10:27:26 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Primaria","2","Infectados","TV;Facebook","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","","","Propagación por gotas al toser y estornudar;Propagación a través de insectos","1973","Femenino"
"2020/04/30 12:04:14 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Activos","TV;Radio;Fuentes oficiales del Gobierno;Facebook;Otras redes sociales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación por gotas al toser y estornudar","1970","Masculino"
"2020/04/30 1:41:50 a. m. EET","Madrid","","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Fallecidos","Fuentes oficiales del Gobierno;Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","3","2","Propagación por gotas al toser y estornudar","1980","Masculino"
"2020/04/30 9:56:20 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","La Creu Coberta","","","","","","","","","","","Universitario","3","Ingresados en la UCI","Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","4","4","3","Propagación por gotas al toser y estornudar","1967","Masculino"
"2020/04/30 6:50:39 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","Hay aproximadamente 100.000 casos de recuperados en España","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","1943","Masculino"
"2020/04/30 7:21:32 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Fallecidos","Radio","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","1978","Femenino"
"2020/04/30 7:43:33 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV","Personas jóvenes","Hay aproximadamente 100.000 casos de recuperados en España","2","3","3","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/30 7:44:33 p. m. EET","Madrid","","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Fallecidos","TV;Radio;Periódicos digitales;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","5","5","5","Propagación por gotas al toser y estornudar","1976","Masculino"
"2020/05/01 2:01:33 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46009","La Saïdia","","","","","Sant Antoni","","","","","","","","","","","","","","","Universitario","3","TODOS","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","4","4","4","Propagación a través del aire;Propagación por gotas al toser y estornudar;FOMITES","1972","Masculino"
"2020/05/01 6:42:18 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46019","Rascanya","","","","","","","","","","","","","","","Torrefiel","","","","","Educación Secundaria Obligatoria","4","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación por gotas al toser y estornudar","1966","Masculino"
"2020/05/01 10:42:06 a. m. EET","Madrid","","","","","","","","","","","","","","","","","","","","","","","Universitario","4","Fallecidos","TV;Periódicos digitales;Facebook","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","3","1","1","Propagación por gotas al toser y estornudar","1976","Femenino"
"2020/05/01 4:47:16 p. m. EET","País Vasco","","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Infectados","TV;Fuentes oficiales del Gobierno;Internet","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","1970","Masculino"
"2020/05/01 5:32:23 p. m. EET","Madrid","","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Fallecidos","TV;Radio;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","4","5","Propagación por gotas al toser y estornudar","1963","Masculino"
"2020/05/01 6:48:44 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46023","Camins al Grau","","","","","","","","","","","","Camí Fondo","","","","","","","","Universitario","1","Fallecidos","TV","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","2","No lo sé","Propagación por gotas al toser y estornudar","1978","Femenino"
"2020/05/01 8:09:41 p. m. EET","Murcia","","","","","","","","","","","","","","","","","","","","","","","Universitario","2","","Radio","No creo que haya diferencias entre los diferentes grupos de edad","","","2","","","","Masculino"
"2020/05/02 7:28:36 p. m. EET","Andalucía","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Periódicos digitales;Facebook","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación por gotas al toser y estornudar","1965","Femenino"
"2020/05/04 4:26:09 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46022","Camins al Grau","","","","","","","","","","","","Aiora","","","","","","","","Universitario","4","Infectados","TV;Fuentes oficiales del Gobierno;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","4","4","Propagación por gotas al toser y estornudar","1900","Prefiero no decirlo"
"2020/05/07 8:37:39 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46002","Ciutat Vella","","","El Mercat","","","","","","","","","","","","","","","","","Universitario","2","Infectados","TV;Radio;Periódicos digitales;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","3","3","Propagación por gotas al toser y estornudar","1972","Masculino"
"2020/05/09 1:06:08 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46006","L'Eixample","","Russafa","","","","","","","","","","","","","","","","","","Universitario","4","Infectados","TV;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación a través del aire;Propagación por gotas al toser y estornudar","1965","Femenino"
"2020/05/09 1:10:59 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46020","Benimaclet","","","","","","","","","","","","","","Benimaclet","","","","","","Universitario","1","Infectados","TV;Radio;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1969","Femenino"
"2020/05/09 1:27:17 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46006","Quatre Carreres","","","","","","","","","","Malilla","","","","","","","","","","Universitario","3","Infectados","TV;Radio;Fuentes oficiales del Gobierno;Periódicos digitales;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","4","4","Propagación por gotas al toser y estornudar","1967","Femenino"
"2020/05/09 1:30:54 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Fallecidos","TV;Fuentes oficiales del Gobierno;Twitter","Personas jóvenes","La suma de casos activos y casos recuperados son los casos confirmados en España","1","2","2","Propagación por gotas al toser y estornudar","1995","Femenino"
"2020/05/09 4:55:38 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46008","Extramurs","Arrancapins","","","","","","","","","","","","","","","","","","","Universitario","3","Ingresados en la UCI","TV;Fuentes oficiales del Gobierno;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","No lo sé","No lo sé","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","1987","Femenino"
